layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	650440	452928	3612672	4724466	0.001233	0.011356	0.889316	4.777324	0.739654	0.174898	6.593781	0.198527	0.009500	0.021375	0.038166	0.003335	0.001996	0.272899	6.866680
3	14724	2308	0	163470	113088	1705984	1999575	0.002466	0.002841	0.425651	2.336628	0.357680	0.087449	3.212715	0.084024	0.004021	0.009047	0.016153	0.001412	0.000845	0.115502	3.328217
4	29360	4612	0	330707	189504	3311616	3865800	0.004931	0.005709	0.832245	3.563674	0.703212	0.087449	5.197220	0.162445	0.007773	0.017490	0.030413	0.002729	0.000816	0.221666	5.418886
5	58713	41508	0	84026	94464	1655808	1934520	0.018707	0.002494	0.417224	1.781829	0.351606	0.043725	2.615585	0.081291	0.003890	0.008752	0.015219	0.001366	0.000409	0.110927	2.726512
6	117395	392020	0	167174	344064	3311616	4332270	0.122063	0.009352	0.843134	3.299314	0.703212	0.043725	5.020800	0.182046	0.008711	0.019601	0.033625	0.003059	0.000457	0.247499	5.268299
7	117395	392020	0	167174	344064	3311616	4332270	0.122063	0.009352	0.843134	3.299314	0.703212	0.043725	5.020800	0.182046	0.008711	0.019601	0.033625	0.003059	0.000457	0.247499	5.268299
8	234176	133748	0	43475	170880	1655808	2238088	0.065982	0.004467	0.419817	1.649641	0.351606	0.021862	2.513375	0.094047	0.004500	0.010126	0.017371	0.001580	0.000236	0.127860	2.641235
9	468551	973132	0	86236	661248	3311616	5500784	0.325269	0.017922	0.859468	3.233288	0.703212	0.021862	5.161021	0.231148	0.011061	0.024887	0.042404	0.003884	0.000290	0.313674	5.474695
10	468551	973132	0	86236	661248	3311616	5500784	0.325269	0.017922	0.859468	3.233288	0.703212	0.021862	5.161021	0.231148	0.011061	0.024887	0.042404	0.003884	0.000290	0.313674	5.474695
11	468551	142972	0	23092	163008	827904	1625528	0.097852	0.004422	0.212047	0.808306	0.175803	0.005466	1.303896	0.068306	0.003269	0.007354	0.012531	0.001148	0.000086	0.092694	1.396590
12	468551	142972	0	23092	163008	827904	1625528	0.097852	0.004422	0.212047	0.808306	0.175803	0.005466	1.303896	0.068306	0.003269	0.007354	0.012531	0.001148	0.000086	0.092694	1.396590
13	468551	142972	0	23092	163008	827904	1625528	0.097852	0.004422	0.212047	0.808306	0.175803	0.005466	1.303896	0.068306	0.003269	0.007354	0.012531	0.001148	0.000086	0.092694	1.396590
