layer	MEM_GB	GB_WB	MEM_WB	MEM_FB	FB_PU	RUN_PU	total_cycle	d_GB	d_FB	d_WB	d_PU	d_NET	d_CTRL	total_dyn	s_GB	s_FB	d_WB	d_PU	d_NET	d_CTRL	total_static	total_energy
2	7269	1156	0	644641	452928	2408448	3514443	0.001233	0.011356	0.584419	3.063868	0.480505	0.109311	4.250692	0.147680	0.007067	0.015901	0.028391	0.002481	0.001485	0.203005	4.453697
3	14724	2308	0	163621	113088	1103872	1397614	0.002466	0.002841	0.273202	1.479899	0.228105	0.054656	2.041169	0.058729	0.002810	0.006323	0.011290	0.000987	0.000590	0.080729	2.121898
4	29360	4612	0	328765	189504	2107392	2659634	0.004931	0.005709	0.527348	2.243739	0.444063	0.054656	3.280446	0.111761	0.005348	0.012033	0.020924	0.001878	0.000562	0.152506	3.432952
5	58713	41508	0	83282	94464	1053696	1331664	0.018707	0.002494	0.264776	1.121862	0.222031	0.027328	1.657198	0.055958	0.002678	0.006025	0.010476	0.000940	0.000281	0.076358	1.733556
6	117395	392020	0	167908	344064	2107392	3128780	0.122063	0.009352	0.538237	2.077759	0.444063	0.027328	3.218802	0.131475	0.006291	0.014156	0.024284	0.002209	0.000330	0.178745	3.397547
7	117395	392020	0	167908	344064	2107392	3128780	0.122063	0.009352	0.538237	2.077759	0.444063	0.027328	3.218802	0.131475	0.006291	0.014156	0.024284	0.002209	0.000330	0.178745	3.397547
8	234176	133748	0	43580	170880	1053696	1636081	0.065982	0.004467	0.267368	1.038864	0.222031	0.013664	1.612376	0.068750	0.003290	0.007402	0.012699	0.001155	0.000173	0.093469	1.705845
9	468551	973132	0	86794	661248	2107392	4297118	0.325269	0.017922	0.554571	2.036328	0.444063	0.013664	3.391817	0.180569	0.008641	0.019442	0.033126	0.003034	0.000227	0.245039	3.636856
10	468551	973132	0	86794	661248	2107392	4297118	0.325269	0.017922	0.554571	2.036328	0.444063	0.013664	3.391817	0.180569	0.008641	0.019442	0.033126	0.003034	0.000227	0.245039	3.636856
11	468551	142972	0	22928	163008	526848	1324308	0.097852	0.004422	0.135823	0.509066	0.111016	0.003416	0.861595	0.055649	0.002663	0.005992	0.010209	0.000935	0.000070	0.075518	0.937113
12	468551	142972	0	22928	163008	526848	1324308	0.097852	0.004422	0.135823	0.509066	0.111016	0.003416	0.861595	0.055649	0.002663	0.005992	0.010209	0.000935	0.000070	0.075518	0.937113
13	468551	142972	0	22928	163008	526848	1324308	0.097852	0.004422	0.135823	0.509066	0.111016	0.003416	0.861595	0.055649	0.002663	0.005992	0.010209	0.000935	0.000070	0.075518	0.937113
